Scenario,PayloadKB,Iteration,TextGen_us,Tokenize_us,DPU_Total_us,RDMA_us,GPU_Compute_us,GPU_Util_Pct,GPU_Mem_MB,DPU_CPU_Pct
A,1,warmup1,26.96,3.96,30.93,974.76,23.41,0.0,108,0
A,1,warmup2,27.22,4.03,31.26,31.36,28.16,0.0,108,0
A,1,warmup3,28.11,4.05,32.16,31.28,30.55,0.0,144,0
A,1,1,27.97,4.10,32.07,29.98,27.32,0.0,108,0
A,1,2,27.37,4.09,31.47,30.99,27.34,1.2,258,0
A,1,3,28.69,3.96,32.65,30.22,30.15,0.0,108,0
A,1,4,26.96,4.13,31.09,30.44,31.65,0.0,108,0
A,1,5,27.07,4.03,31.10,34.01,28.82,0.0,108,0
A,1,6,28.71,3.99,32.70,30.32,29.48,0.0,108,0
A,1,7,28.56,4.06,32.62,30.15,26.99,0.0,258,0
A,1,8,28.12,4.00,32.13,31.89,26.67,0.0,108,0
A,1,9,28.47,4.11,32.58,30.22,31.29,0.7,144,0
A,1,10,28.57,3.99,32.56,31.88,31.79,0.0,108,0
B,1,warmup1,28.39,0.00,28.39,31.87,47.49,0.0,144,0
B,1,warmup2,27.85,0.00,27.85,34.02,41.30,0.0,108,0
B,1,warmup3,27.83,0.00,27.83,31.15,41.97,0.0,108,0
B,1,1,27.34,0.00,27.34,34.96,41.72,0.0,145,0
B,1,2,27.89,0.00,27.89,30.17,41.36,0.0,108,0
B,1,3,28.45,0.00,28.45,30.57,46.99,0.0,258,0
B,1,4,28.91,0.00,28.91,69.99,43.34,0.0,108,0
B,1,5,27.33,0.00,27.33,32.65,46.33,1.0,144,0
B,1,6,27.41,0.00,27.41,31.31,36.20,0.0,108,0
B,1,7,27.95,0.00,27.95,29.27,47.99,0.0,108,0
B,1,8,28.50,0.00,28.50,34.33,41.98,0.0,108,0
B,1,9,28.29,0.00,28.29,31.36,41.57,0.0,108,0
B,1,10,27.87,0.00,27.87,28.79,45.07,0.0,246,0
A,2,warmup1,56.22,7.89,64.11,32.07,30.11,0.0,108,0
A,2,warmup2,53.32,7.82,61.15,129.91,30.69,0.0,108,0
A,2,warmup3,54.26,7.86,62.12,30.98,28.90,0.0,258,0
A,2,1,55.26,7.79,63.05,106.05,33.73,0.0,144,0
A,2,2,55.21,7.82,63.03,29.03,28.68,0.0,108,0
A,2,3,55.71,7.78,63.49,32.44,28.35,0.0,108,0
A,2,4,55.24,7.75,62.99,31.63,34.44,0.0,258,0
A,2,5,56.17,7.80,63.96,31.59,30.54,0.0,108,0
A,2,6,53.55,7.84,61.39,30.50,40.58,0.0,108,0
A,2,7,53.08,7.76,60.84,33.55,30.32,0.0,258,0
A,2,8,55.44,7.81,63.25,30.84,28.13,0.0,108,0
A,2,9,53.33,7.80,61.13,30.22,30.98,0.0,240,0
A,2,10,53.78,7.76,61.54,30.05,29.85,0.0,144,0
B,2,warmup1,55.54,0.00,55.54,32.97,48.87,0.0,257,0
B,2,warmup2,55.48,0.00,55.48,29.63,43.32,0.0,108,0
B,2,warmup3,55.66,0.00,55.66,28.82,49.54,0.0,108,0
B,2,1,53.51,0.00,53.51,34.55,43.57,0.0,108,0
B,2,2,55.58,0.00,55.58,30.53,36.42,0.0,108,0
B,2,3,55.32,0.00,55.32,30.28,48.82,0.0,258,0
