Scenario,PayloadKB,Run,DPU_TextGen_us,DPU_Tokenize_us,RDMA_Latency_us,GPU_Compute_us,GPU_Util_Percent,GPU_Mem_MB
A,1,1,0,19,1034.27,28.11,0,0
B,1,1,19,0,32.78,44.26,0,0
A,1,2,0,19,33.77,28.75,0,0
B,1,2,20,0,36.41,42.76,0,0
A,1,3,0,20,32.61,30.81,0,0
B,1,3,20,0,29.99,46.48,0,0
A,1,4,0,20,32.37,28.24,0,0
B,1,4,20,0,31.47,42.45,0,0
A,1,5,0,20,39.00,29.24,0,0
B,1,5,20,0,33.15,42.95,0,0
A,2,1,0,20,32.54,30.13,0,0
B,2,1,21,0,29.18,45.93,0,0
A,2,2,0,21,32.03,31.11,0,0
B,2,2,21,0,36.74,44.39,0,0
A,2,3,0,21,31.55,30.85,0,0
B,2,3,21,0,38.58,44.35,0,0
A,2,4,0,21,31.14,31.36,0,0
B,2,4,21,0,30.78,44.96,0,0
A,2,5,0,21,31.53,30.82,0,0
B,2,5,21,0,32.65,44.29,0,0
A,4,1,0,22,32.15,35.76,0,0
B,4,1,22,0,32.07,49.47,0,0
A,4,2,0,22,31.88,36.42,0,0
B,4,2,22,0,31.95,49.43,0,1329
A,4,3,0,22,33.09,41.95,0,1329
B,4,3,22,0,29.70,38.42,0,1329
A,4,4,0,22,32.35,30.72,0,1329
B,4,4,22,0,29.01,38.33,0,1329
A,4,5,0,22,30.61,31.44,0,1329
B,4,5,23,0,32.74,46.59,0,1329
A,8,1,0,23,31.88,38.71,0,1329
B,8,1,23,0,33.13,58.52,0,1329
A,8,2,0,23,32.00,40.46,0,1329
B,8,2,23,0,31.90,57.30,0,1329
A,8,3,0,23,30.41,38.86,0,1329
B,8,3,23,0,32.92,50.63,0,1329
A,8,4,0,23,31.51,38.93,0,1329
B,8,4,23,0,33.42,55.64,0,767
A,8,5,0,24,32.09,39.42,0,767
B,8,5,24,0,36.04,48.25,0,767
A,16,1,0,24,33.85,58.41,0,767
B,16,1,24,0,32.22,81.41,0,565
A,16,2,0,24,32.30,65.24,0,565
B,16,2,24,0,33.15,79.04,0,565
A,16,3,0,24,32.10,65.46,0,565
B,16,3,24,0,31.91,78.58,0,565
A,16,4,0,25,37.40,67.00,0,565
B,16,4,25,0,31.89,80.62,0,565
A,16,5,0,25,34.07,67.60,0,565
B,16,5,25,0,31.52,79.22,0,565
A,32,1,0,25,32.03,106.01,0,565
B,32,1,25,0,31.53,123.22,0,565
A,32,2,0,25,37.27,107.51,0,565
B,32,2,25,0,31.72,119.78,0,565
A,32,3,0,25,33.20,105.96,0,565
B,32,3,26,0,29.72,119.63,0,565
A,32,4,0,26,32.63,105.88,0,565
B,32,4,26,0,32.80,118.68,0,565
A,32,5,0,26,31.99,105.87,0,565
B,32,5,26,0,31.55,118.79,0,565
