Scenario,PayloadKB,Run,TextGen_us,Tokenize_us,DPU_Total_us,RDMA_us,GPU_Compute_us
A,1,1,27.38,3.99,31.37,1035.41,31.52
B,1,1,28.24,0.00,28.24,33.02,31.10
A,1,2,28.09,4.07,32.16,31.41,21.39
B,1,2,28.01,0.00,28.01,31.18,31.78
A,1,3,28.47,4.00,32.47,32.22,32.51
B,1,3,27.42,0.00,27.42,33.53,41.43
A,2,1,56.41,7.84,64.25,31.41,23.94
B,2,1,53.90,0.00,53.90,33.78,35.32
A,2,2,53.42,7.77,61.20,29.48,24.55
B,2,2,56.03,0.00,56.03,31.76,38.42
A,2,3,55.68,7.84,63.53,29.80,33.60
B,2,3,54.25,0.00,54.25,31.00,47.01
A,4,1,111.37,15.39,126.76,30.55,33.29
B,4,1,108.43,0.00,108.43,31.93,47.57
A,4,2,105.16,15.43,120.59,31.66,32.24
B,4,2,105.42,0.00,105.42,35.59,39.84
A,4,3,108.95,15.46,124.41,31.13,33.10
B,4,3,107.50,0.00,107.50,32.94,47.14
A,8,1,209.84,30.72,240.56,31.24,40.24
B,8,1,220.01,0.00,220.01,31.84,47.98
A,8,2,212.35,31.06,243.41,31.34,55.66
B,8,2,218.52,0.00,218.52,32.23,63.08
A,8,3,217.80,30.79,248.59,30.57,39.47
B,8,3,210.92,0.00,210.92,32.08,47.50
A,16,1,439.90,61.08,500.99,31.07,67.86
B,16,1,420.25,0.00,420.25,30.73,68.82
A,16,2,470.98,60.80,531.78,29.85,59.81
B,16,2,420.67,0.00,420.67,31.41,85.43
A,16,3,440.47,60.93,501.40,32.04,59.74
B,16,3,421.01,0.00,421.01,30.74,77.54
A,32,1,841.99,135.68,977.66,30.00,100.10
B,32,1,852.07,0.00,852.07,30.27,107.58
A,32,2,885.71,134.62,1020.33,30.62,101.06
B,32,2,843.21,0.00,843.21,34.19,109.27
A,32,3,888.09,135.19,1023.28,32.96,98.98
B,32,3,861.39,0.00,861.39,29.37,109.53
