Scenario,PayloadKB,Metric,Mean,StdDev,P50,P90,P99
A,1,RDMA,133.06,298.24,34.39,135.27,938.52
A,1,GPU,30.80,2.49,30.44,33.87,34.72
A,1,Tokenize,90.13,10.03,87.06,93.55,116.91
B,1,RDMA,32.81,0.99,32.83,34.35,34.45
B,1,GPU,8257.09,9.20,8254.95,8268.18,8275.88
B,1,Tokenize,0.00,0.00,0.00,0.00,0.00
A,2,RDMA,33.06,0.97,32.75,34.29,34.79
A,2,GPU,32.38,1.17,31.97,33.29,35.36
A,2,Tokenize,160.25,4.61,160.67,164.15,168.67
B,2,RDMA,40.95,22.33,32.67,44.92,101.40
B,2,GPU,8410.00,6.22,8408.55,8419.17,8422.65
B,2,Tokenize,0.00,0.00,0.00,0.00,0.00
A,4,RDMA,40.53,16.85,34.94,43.57,86.09
A,4,GPU,37.44,0.83,37.49,38.31,38.61
A,4,Tokenize,281.37,8.27,279.93,288.46,298.98
B,4,RDMA,32.07,1.47,32.00,34.10,34.41
B,4,GPU,8702.90,10.32,8707.73,8711.67,8720.13
B,4,Tokenize,0.00,0.00,0.00,0.00,0.00
A,8,RDMA,34.23,2.30,34.62,35.82,38.69
A,8,GPU,47.49,2.69,46.42,50.54,54.27
A,8,Tokenize,522.59,11.00,519.99,538.72,540.93
B,8,RDMA,37.21,12.18,33.23,38.38,70.12
B,8,GPU,9299.06,4.05,9298.40,9303.19,9307.22
B,8,Tokenize,0.00,0.00,0.00,0.00,0.00
A,16,RDMA,34.96,2.21,34.38,36.26,40.65
A,16,GPU,71.30,14.78,66.17,73.27,111.30
A,16,Tokenize,971.34,24.27,978.22,994.71,1012.51
B,16,RDMA,32.92,1.28,32.88,34.59,35.56
B,16,GPU,10535.58,7.70,10539.16,10543.29,10543.66
B,16,Tokenize,0.00,0.00,0.00,0.00,0.00
A,32,RDMA,41.73,23.78,34.02,43.65,106.02
A,32,GPU,107.45,1.15,107.28,109.00,109.55
A,32,Tokenize,1874.59,96.87,1844.40,1910.74,2132.55
B,32,RDMA,39.30,20.66,32.97,40.87,95.13
B,32,GPU,12967.37,6.51,12967.85,12974.14,12974.72
B,32,Tokenize,0.00,0.00,0.00,0.00,0.00
A,64,RDMA,42.57,25.60,34.20,44.60,111.76
A,64,GPU,7.67,2.42,6.97,9.69,13.78
A,64,Tokenize,3644.24,83.06,3617.99,3749.57,3838.79
B,64,RDMA,33.17,2.56,32.53,35.99,39.41
B,64,GPU,6.40,0.41,6.30,6.83,7.41
B,64,Tokenize,0.00,0.00,0.00,0.00,0.00
A,128,RDMA,40.08,16.82,34.69,42.25,85.47
A,128,GPU,6.45,0.84,6.19,7.25,8.35
A,128,Tokenize,7212.37,167.76,7220.59,7387.84,7510.88
B,128,RDMA,33.46,2.29,32.73,36.48,38.31
B,128,GPU,7.01,2.41,6.20,7.24,13.54
B,128,Tokenize,0.00,0.00,0.00,0.00,0.00
