,,TextGen_us,TextGen_us,Tokenize_us,Tokenize_us,DPU_Total_us,DPU_Total_us,RDMA_us,RDMA_us,GPU_Compute_us,GPU_Compute_us,GPU_Compute_us,GPU_Compute_us,GPU_Util_Pct,GPU_Mem_MB,DPU_CPU_Pct
,,mean,std,mean,std,mean,std,mean,std,mean,std,min,max,mean,mean,mean
Scenario,PayloadKB,,,,,,,,,,,,,,,
A,1,28.05,0.68,4.05,0.06,32.1,0.65,31.01,1.26,29.15,2.01,26.67,31.79,0.19,141.6,0.0
A,2,54.68,1.12,7.79,0.03,62.47,1.12,38.59,23.74,31.56,3.81,28.13,40.58,0.0,158.4,0.0
A,4,108.54,2.13,15.47,0.06,124.01,2.09,46.9,30.99,34.4,4.07,31.31,41.94,0.12,141.6,0.0
A,8,212.02,3.5,30.65,0.12,242.67,3.51,38.49,23.56,40.88,4.71,37.46,50.23,0.12,157.2,0.0
A,16,437.67,9.36,88.67,87.08,526.34,88.22,45.6,28.7,51.94,5.64,48.09,67.63,0.08,140.1,0.0
A,32,860.76,20.94,135.39,1.85,996.16,20.24,35.85,15.44,82.06,14.77,73.6,110.71,0.46,136.8,0.0
A,64,1757.61,31.73,274.79,1.58,2032.4,31.42,38.33,21.01,6.72,0.4,6.28,7.6,3.07,160.2,0.0
A,128,3442.74,79.26,575.45,10.1,4018.19,80.06,31.16,1.27,8.51,2.46,6.24,12.31,0.86,188.5,0.0
B,1,27.99,0.54,0.0,0.0,27.99,0.54,35.34,12.34,43.26,3.49,36.2,47.99,0.1,144.1,0.0
B,2,54.81,0.96,0.0,0.0,54.81,0.96,32.0,2.81,44.06,3.3,36.42,48.82,0.0,154.8,0.0
B,4,108.24,1.82,0.0,0.0,108.24,1.82,36.66,14.94,48.96,2.57,45.97,53.02,0.0,135.8,0.0
B,8,214.74,3.28,0.0,0.0,214.74,3.28,44.82,28.32,53.11,3.01,50.96,61.5,0.0,140.0,0.0
B,16,428.99,8.54,0.0,0.0,428.99,8.54,32.47,1.47,68.52,7.49,62.01,83.02,0.0,155.3,0.0
B,32,861.32,17.0,0.0,0.0,861.32,17.0,38.78,23.74,102.18,20.78,75.08,134.57,0.12,146.2,0.0
B,64,1715.85,27.25,0.0,0.0,1715.85,27.25,39.38,21.82,9.78,4.01,7.18,17.93,1.03,183.6,0.0
B,128,3418.84,29.32,0.0,0.0,3418.84,29.32,39.14,22.55,10.12,4.68,7.32,22.78,4.38,177.4,0.0
